,sentence,emotion
0,"End of the line , asshole .",1
1,Wait ! Wait right here !,1
2,"Who the hell asked you anyways , huh ? - Shut up !",1
3,Elder ...,1
4,Let's get him !,1
5,Art here saw her fighting him off .,1
6,"You want me to think that you don't want me to go down there , but the subtle truth is you really don't want me to go down there .",1
7,No ! We're extracting ! Give me the breaching charges !,1
8,In this order we're not allowed personal possessions . Nor are we .,1
9,"I do not care or the wrath of God , nor of the whole earth .",1
10,Except never take drugs and go to AA meetings for the rest of your life .,1
11,"Anyways , I don't give a damn .",1
12,But I don't give up so easily .,1
13,But I'm always going to be a killer .,1
14,We can't feed the Russian people on your intentions .,1
15,You were supposed to come Tuesday .,1
16,"You don't have to believe it , honey , just act it .",1
17,I must be working out some screwed - up karma .,1
18,You can't let radarjockeys push you around . Leave it to me .,1
19,"One matters of saying to us , Mr. [PERSON] , where it was in the Monday afternoon , day of June ?",1
20,"Well , if the [PERSON] tries anything like that with me ...",1
21,This company of adults made the decision to post these pictures without even taking the time to find out if they were children .,1
22,"Next time , I'll wipe 'em on you .",1
23,"No man is gonna make a liar out of me , sir .",1
24,What is this ? My son needs his rest .,1
25,"There's no need for you to try and scare us , Mr. [PERSON] .",1
26,[LOCATION] has always been able to crack your neck .,1
27,"Now , you stay put and listen to me .",1
28,Your son is sleeping there .,1
29,Do something !,1
30,I do not think you quite realise my position .,1
31,Don't you see they don't need you ?,1
32,My wife doesn't have to answer those questions .,1
33,Shame on the people who put us in here !,1
34,I was very angry with him .,1
35,Just put on your coat .,1
36,"You're a hard man to kill , Admiral .",1
37,"Come on , do what I tell you !",1
38,You dare take that tone with me ?,1
39,After them ... slowly !,1
40,"Hastings , it did not seem to him strange which [PERSON] was suggesting what had the mother been poisoned by accident ?",1
41,Wait a minute !,1
42,This is no time for jokes .,1
43,"No , I know how to make lemonade .",1
44,There's just this one hammer .,1
45,We're not on the same side .,1
46,You could have alerted us !,1
47,Don't need anybody right now .,1
48,Was it you ?,1
49,"[PERSON] , fuck off !",1
50,I'm not lying .,1
51,What's going on ? We need to talk . That's all .,1
