,sentence,emotion
0,end of the line asshole endof ofthe theline lineasshole  endofthe oftheline thelineasshole ,1
1,wait  wait right here  wait wait waitright righthere here  waitwait waitright waitrighthere righthere ,1
2,who the hell asked you anyways huh  shut up  whothe thehell  askedyou   huh shut shutup up  whothehell the you asked huh  huhshut shutup shutup ,1
3,elder  ,1
4, get him  get gethim him  gethim gethim ,1
5,art here saw her fighting him off arthere heresaw  herfighting fightinghim himoff  artheresaw here fighting herfightinghim fightinghimoff ,1
6,you want me to think that you  want me to go down there but the subtle truth is you really  want me to go down there youwant wantme meto tothink thinkthat thatyou you want wantme meto togo godown downthere  butthe   truthis isyou youreally really want wantme meto togo godown downthere  youwantme wantmeto    thatyou youwant wantme wantmeto metogo  godownthere down the but truth is   youreally reallywant wantme wantmeto metogo  godownthere ,1
7,no   extracting  give me the breaching charges  no  extracting extracting give giveme methe thebreaching breachingcharges charges  no extracting extracting extractinggive giveme givemethe   breachingcharges ,1
8,in this order  not allowed personal possessions nor are we inthis  order not      arewe  in  ordernot  personal possessions nor are we ,1
9, do not care or the wrath of god nor of the whole earth do donot notcare   thewrath wrathof ofgod   ofthe thewhole   donot  not the wrath thewrathof wrathofgod of of the  the ,1
10,except never take drugs and go to aa meetings for the rest of your life     andgo goto    forthe therest  ofyour yourlife  take drugs and go andgoto go meetings for the  the your  ,1
11,nywys   gve  dmn nywys  gve gve dmn  nywys gve gve gvedmn ,1
12,but   gve up so easly but  gve gveup upso soeasly  but gve gveup gveupso upsoeasly ,1
13,but  lwys going to be  killer but lwys lwysgoing goingto tobe be killer  butlwys lwysgoing lwysgoingto goingtobe tobe bekiller ,1
14,we  feed the russian people on your intentions we feed     onyour   wefeed  russian people on your on ,1
15,you were supposed to come tuesday youwere weresupposed supposedto tocome cometuesday  youweresupposed weresupposedto supposedtocome tocometuesday ,1
16,you  have to believe it honey just act it you have haveto tobelieve believeit      youhave haveto   believe just act it ,1
17, must be workng out some screwed up karma must mustbe beworkng workngout      mustbe mustbeworkng beworkngout workng screwed up karma ,1
18,you  let radarjockeys push you around leave it to me you let    youaround  leaveit itto tome  youlet  push you around you it  ittome ,1
19,one matters of saying to us mr person where it was in the monday afternoon day of june      tous usmr mrperson personwhere whereit itwas wasin inthe      june  of saying to us  usmrperson    itwasin  in afternoon day of june  ,1
20,well if the person tries anything like that with me wellif  theperson   anythinglike likethat thatwith withme  well person the anything like anythinglikethat   ,1
21,this company of  made the decision to  these pictures without even taking the time to find out if they were children   of made madethe   to these thesepictures  withouteven  takingthe thetime timeto tofind findout outif ifthey theywere   of  ofmade madethe made to  tothese thesepictures these even without the    tofindout    they ,1
22,next time  wipe  on you nexttime time wipe wipe on onyou  nexttime timewipe wipe wipeon onyou ,1
23,no mn is gonn mke  lir out of me sir nomn mnis isgonn gonnmke mke lir lirout outof ofme mesir  nomnis mnisgonn isgonnmke gonnmke mkelir lirout liroutof   ,1
24,what is this  my son needs his rest whatis isthis this my myson sonneeds needshis hisrest  whatisthis isthis thismy myson mysonneeds sonneedshis needshisrest ,1
25, no need for you to try and scare us mr person no noneed needfor foryou youto     usmr mrperson  noneed noneedfor  foryouto you and scare us mr usmrperson ,1
26,location has always been able to crack your neck   alwaysbeen     yourneck  always been always to crack your neck ,1
27,now you stay put and listen to me nowyou youstay stayput putand andlisten listento tome  nowyoustay youstayput stayputand putandlisten andlistento listentome ,1
28,your son is sleeping there yourson sonis issleeping sleepingthere  yoursonis sonissleeping issleepingthere ,1
29,do something  dosomething something  dosomething ,1
30, do not thnk you qute realse my poston do donot notthnk thnkyou youqute quterealse realsemy myposton  donot donotthnk notthnkyou thnkyouqute youquterealse quterealsemy realsemyposton ,1
31, you see they  need you  you yousee seethey they need needyou you  yousee youseethey seethey theyneed needyou needyou ,1
32,my wife  have to answer those questions mywife wife have haveto toanswer answerthose thosequestions  mywife wifehave haveto  toanswerthose answerthosequestions ,1
33,shame on the people who put us in here      whoput putus usin inhere here  the people who put    inhere ,1
34, was very angry wth hm was wasvery veryangry angrywth wthhm  wasvery wasveryangry veryangrywth angrywthhm ,1
35,just put on your coat justput puton onyour yourcoat  justputon putonyour onyourcoat ,1
36,  hrd mn to kill dmirl  hrd hrdmn mnto tokill killdmirl  hrd hrdmn hrdmnto mntokill tokilldmirl ,1
37,come on do what  tell you  comeon ondo dowhat what tell tellyou you  comeondo ondowhat dowhat whattell tellyou tellyou ,1
38,you dare take that tone with me  youdare daretake takethat thattone tonewith withme me  youdaretake daretakethat takethattone thattonewith tonewithme withme ,1
39,after them slowly  afterthem themslowly slowly  afterthemslowly themslowly ,1
40,hastings it did not seem to him strange which person was  what had the mother been  by accident   itdid didnot   tohim    personwas was what  hadthe   been by  accident  did  did to him to which person was personwas waswhat  the had been  beenby   ,1
41,wit  minute  wit minute minute  witminute minute ,1
42,this is no time for jokes thisis isno notime timefor forjokes  thisisno isnotime notimefor timeforjokes ,1
43,no  know how to make lemonade no know knowhow howto tomake makelemonade  noknow knowhow knowhowto howtomake tomakelemonade ,1
44, just this one hammer just justthis thisone onehammer  justthis justthisone thisonehammer ,1
45, not on the same side not noton   sameside  noton not same side ,1
46,you could have alerted us  youcould couldhave havealerted alertedus us  youcouldhave couldhavealerted havealertedus alertedus ,1
47, need anybody right now need needanybody anybodyright rightnow  needanybody needanybodyright anybodyrightnow ,1
48,was it you  wasit ityou you  wasityou ityou ,1
49,person fuck off  personfuck fuckoff off  personfuckoff fuckoff ,1
50, not lying not notlying  notlying ,1
51, going on  we need to talk  all going goingon on we weneed needto totalk talk all  goingon goingon onwe weneed weneedto needtotalk totalk talkall ,1
52, terrorise the whole state terrorise terrorisethe thewhole wholestate  terrorisethe terrorisethewhole thewholestate ,1
53, you ever say that to me again you youever eversay saythat thatto tome meagain  youever youeversay eversaythat saythatto thattome tomeagain ,1
54, change the subject change changethe thesubject  changethe changethesubject ,1
55,look if  hve been creful  tht reconnissnce plne during the wr you  hve hd the chnce to tke the pictures tht won you  medl nd  good job nd fme nd money  if hve hvebeen beencreful creful tht thtreconnissnce reconnissnceplne plneduring  thewr wryou you hve hvehd hdthe thechnce chnceto totke tkethe thepictures picturestht thtwon wonyou you medl medlnd nd good goodjob jobnd ndfme fmend ndmoney   ifhve hvebeen hvebeencreful beencreful crefultht thtreconnissnce thtreconnissnceplne reconnissnceplneduring plne wr thewryou wryou youhve hvehd hvehdthe hdthechnce thechnceto chncetotke totkethe tkethepictures thepicturestht picturesthtwon thtwonyou wonyou youmedl medlnd medlnd ndgood goodjob goodjobnd jobndfme ndfmend fmendmoney ,1
56, mad it was an accident mad madit itwas wasan anaccident  madit maditwas itwasan wasanaccident ,1
57, stump to location with the rest of us stump stumpto tolocation  withthe therest  ofus  stumpto  to the  the us ,1
58,person  losing your family  person losing losingyour yourfamily family  personlosing losingyour losingyourfamily yourfamily ,1
59,how about what the hell  doing in there to begin with  howabout aboutwhat whatthe thehell hell doing doingin inthere thereto tobegin beginwith with    whatthehell thehell helldoing doingin doinginthere   tobeginwith beginwith ,1
60,now that  go in there nowthat that go goin inthere  nowthat thatgo goin gointhere ,1
61, wet  wet wet  wet ,1
62,  have ths conversaton carred on by the chldren  have haveths thsconversaton conversatoncarred carredon   thechldren  have haveths havethsconversaton thsconversatoncarred conversatoncarredon carred the chldren ,1
63,person must be crazy personmust mustbe becrazy  personmustbe mustbecrazy ,1
64,everybody calls you plan person why    everybodycalls callsyou youplan planperson personwhy why    everybodycallsyou callsyouplan youplanperson planpersonwhy personwhy why  ,1
65,no   want no drnk no  want wantno nodrnk  no want wantno wantnodrnk ,1
